recipe_name,author,preparation_time,cook_time,total_time,rest_time,quantity,ingredients
Ravioles de foie gras et bouillon,Magimix,30 min,5 min,35 min,0 min,4 personnes,"['220 g de farine', '2  œufs', '1 pincée de sel', '600 ml de bouillon de volaille', '1 bouquet de persil plat', '250 g de champignons', ""1 c.c. de piment d'Espelette"", '150 g de foie gras', '1 pincée de sel', '1 c.c. de baies roses']"
Cake aux cerises et au chocolat,Magimix,15 min,45 min,1 h,0 min,10 personnes,"['4  œufs', '120 g de sucre', '120 g de beurre', ""120 g de poudre d'amandes"", '120 g de chocolat noir', '120 g de farine T45', '1 sachet de levure chimique', '400 g de cerises', '1 c.s. de sucre glace']"
Cupcakes aux fraises,Magimix,15 min,30 min,45 min,0 min,12 pièces,"['120 g de sucre', '1 zeste de citron jaune', '3  œufs', '125 g de beurre', '1 pincée de sel', '250 g de farine T45', '1 sachet de levure chimique', '30 ml de jus de citron jaune', '200 g de fraises']"
Infusion gingembre et miel,Magimix,10 min,0 min,10 min,0 min,4 verres,"['20 g de gingembre', ""750 ml d'eau"", '20 g de miel', '30 ml de jus de citron jaune', '0.5 c.c. de curcuma', '1 pincée de poivre']"
Gaspacho du potager,Elisa,15 min,0 min,15 min,0 min,4 personnes,"['1  poivron rouge', '1  poivron vert', '0.5  concombre', '4  tomates', '1  oignon rouge', ""1  gousse d'ail"", '5 feuilles de basilic', '3 c.s. de vinaigre balsamique', '8 gouttes de tabasco', '1 pincée de sel', '1 pincée poivre']"
Yaourt glacé aux framboises,Magimix,10 min,0 min,10 min,0 min,2 personnes,"[""2  yaourts au lait d'amande nature"", '400 g de framboises surgelées', '60 g de cassonade']"
Crème de potimarron,Magimix,15 min,25 min,40 min,0 min,4 personnes,"['0.5  potimarron', '3  carottes', '1  pomme de terre', '1  orange', '1  cube de bouillon de volaille', '100 ml de crème liquide', '1 pincée de cannelle', '0.5 c.c. de gingembre moulu']"
Limonade aux fraises,Magimix,5 min,0 min,5 min,0 min,4 verres,"[""600 g d'eau"", '70 g de sucre', '50 ml de jus de citron jaune', '250 g de fraises']"
Shot antioxydants,Magimix,15 min,0 min,15 min,0 min,8 verres,"['10 g de gingembre', '60 g de grenade', '150 ml de jus d’orange', '60 ml de jus de citron vert', '150 ml de thé vert', '15 g de miel']"
Sucettes banane kiwi,Magimix,15 min,0 min,15 min,0 min,8 pièces,"[""80 g d'eau"", '40 g de sucre', '4  kiwis', '200 g de jus de pomme', '1  de banane']"
Beurre de pommes,Magimix,15 min,30 min,45 min,0 min,2 pots,"['5  pommes', ""70 g de sirop d'érable"", '70 g de beurre demi-sel', '1  gousse de vanille']"
Œufs cocotte au saumon et fromage,Magimix,5 min,12 min,17 min,0 min,4 personnes,"['1 pincée de sel', '1 pincée de poivre', '4 c.s. de crème fraîche épaisse', '4  œufs bio extra-frais', '50 g de lanières de saumon fumé', '50 g de fromage à tartiner (Philadelphia®)']"
Pancakes bio moelleux et aérés,Iza,10 min,15 min,25 min,0 min,8 personnes,"['4  œufs', ""500 ml de lait d'amandes"", '300 g de farine de riz', ""200 g de farine d'épeautre"", '2 c.s. de bicarbonate de soude', '4 c.s. de rapadura', '1 pincée de sel']"
Glace au chocolat noir,Magimix,30 min,0 min,1 h 30,1 h,4 personnes,"['500 ml de lait entier', '250 ml de crème liquide', ""2 c.c. d'extrait de vanille"", ""6  jaunes d'œufs"", '190 g de sucre', '320 g de chocolat noir 70 %']"
Cupcakes Halloween,Magimix,30 min,20 min,50 min,0 min,12 pièces,"['200 g de mascarpone', '3 c.s. de pâte à tartiner chocolat et noisettes (Nutella®)', '1 c.s. de sucre glace', '175 g de beurre', '125 g de sucre', '4  œufs', '75 g de farine T45', '1 sachet de levure chimique', '100 g de chocolat noir', '12  guimauves']"
"Croquettes pommes de terre, fromage",Magimix,15 min,40 min,3 h 55,3 h,4 personnes,"['500 g de pommes de terre', '6  portions de fromage à tartiner (Vache qui rit)', ""2  jaunes d'œufs"", '50 g de farine', '100 g de chapelure', '1 pincée de sel', '1 pincée de poivre', ""4 c.s. d'huile d'olive""]"
Champignons farcis aux crevettes,Magimix,10 min,20 min,30 min,0 min,4 personnes,"['110 g de champignons de Paris', ""1  jaune d'œuf"", '100 ml de crème fraîche épaisse', ""1  gousse d'ail"", '100 g de jambon cru', '200 g de crevettes', '1 c.s. de persil', '1 pincée de sel', '1 pincée de poivre']"
"Bouchées courgettes, chèvre, pistou",Magimix,10 min,25 min,35 min,0 min,4 personnes,"['4  courgettes', '300 g de fromage de chèvre frais', '150 g de pesto', '1 pincée de sel', '1 pincée de poivre']"
Sauce tomate aux légumes spiralisés,Magimix,15 min,25 min,40 min,0 min,4 personnes,"['1  grosse carotte pelée', '1  courgette', '1  oignon', '1  poivron rouge', ""4 c.s. d'huile d'olive"", '1 feuille de laurier', ""0.5 c.c. d'origan séché"", '800 g tomates entières en boîte', ""400 ml d'eau"", '1 pincée de sel', '1 pincée de poivre du moulin']"
Sorbet à la fraise,Magimix,5 min,0 min,5 min,0 min,4 personnes,"['1 c.s. de jus de citron', '400 g de fraises surgelées', ""1  blanc d'œuf"", '75 g de sucre en poudre']"
Orangettes,Magimix,25 min,1 h 45,2 h 10,0 min,1 bol,"['3  oranges bio', ""1 L d'eau"", '3 pincées de fleur de sel', '500 g de sucre', ""110 g d'eau"", '200 g de chocolat noir']"
Soupe de courgettes santé,Magimix,10 min,40 min,50 min,0 min,6 personnes,"[""1 c.s. d'huile de pépins de raisin"", '100 ml de crème de soja', '1 pincée de fleur de sel', '1  de cube de bouillon de légumes', ""800 ml d'eau"", '3  courgettes', '3  poireaux', '3 branches de céleri branche']"
Compote pomme-pruneau-rhubarbe,Magimix,15 min,40 min,55 min,0 min,6 personnes,"['1000 g de rhubarbe', '5  pommes', ""75 ml d'eau"", '6  pruneaux', ""2 c.s. de sirop d'agave""]"
Soupe froide de melon,Magimix,10 min,0 min,10 min,0 min,6 personnes,"['1  melon', '0.5  concombre', '200 ml de lait de coco', '1 c.c. de pâte de curry rouge thaï', '1 pincée de fleur de sel']"
Soupe froide de melon,Magimix,10 min,0 min,10 min,0 min,6 personnes,"['1  melon', '0.5  concombre', '200 ml de lait de coco', '1 c.c. de pâte de curry rouge thaï', '1 pincée de fleur de sel']"
Kofta végé,Magimix,25 min,20 min,45 min,0 min,4 personnes,"['20 g de gingembre râpé', '1  oignon', ""3  gousses d'ail"", '2  carottes', '1 c.c. de graines de coriandre', '1 c.c. de cumin', ""2 c.s. d'huile d'olive"", '400 g pois chiches', '1 bouquet de coriandre', '1  cube de bouillon de légumes', '130 g de chapelure', '1 pincée de sel', '1 pincée de poivre', '1  oignon', ""1  gousse d'ail"", ""1 c.s. d'huile d'olive"", '100 g de noix de cajou', '0.5 c.c. de curcuma', '1 c.c. de paprika', '250 ml de lait de coco', '70 g de beurre de cacahuète', '1 pincée de fleur de sel']"
Fougasse aux olives,Magimix,15 min,20 min,2 h 50,2 h 15,4 pains,"['16 g de levure fraîche de boulanger', '340 g de farine T65', ""50 ml d'huile d'olive"", '1 c.c. de sel', ""50 g d'olives noires dénoyautées"", '1 c.c. de fleur de sel', ""1 pincée d'origan séché""]"
Tarte aux tomates et aux olives,Magimix,15 min,30 min,45 min,0 min,6 personnes,"['225 g de farine T45', '80 g de beurre', ""200 g d'olives noires"", '1 c.c. de thym séché', ""1 c.s. d'huile d'olive"", ""60 ml d'eau"", '100 g de feta', '2  œufs', '120 g de crème liquide (30 % mat. grasse min.)', '250 g de tomates cerises', '1 pincée de sel', '1 pincée de poivre']"
Gratin chou kale et pignons de pin,Magimix,15 min,40 min,55 min,0 min,8 personnes,"['350 g de chou kale', ""220 g d'épinards"", '7  œufs', ""2 c.c. d'origan"", ""2 c.s. d'huile d'olive"", '230 g de ricotta', '180 g de feta', '120 g de parmesan', '40 g de pignons de pin', '1.5  cube de bouillon de légumes', '1 pincée de poivre', '15 g de beurre']"
Gaspacho Vert,Magimix,10 min,4 min,2 h 14,2 h,2 personnes,"[""0.5  gousse d'ail"", '300 g de courgettes', ""1 c.s. d'huile d'olive"", '175 g de concombre', '15 g de coriandre fraîche', '125 g de yaourt grec', ""1 pincée de piment d'Espelette""]"
Gaspacho vert,Magimix,15 min,4 min,19 min,0 min,4 personnes,"[""1  gousse d'ail"", '0.25 botte de coriandre fraîche', ""2 c.s. d'huile d'olive"", '2  yaourts de soja', '2  courgettes', ""1 c.c. de piment d'Espelette"", '1  concombre', '1 pincée de sel', '1 pincée de poivre']"
Poulet au parmesan,Magimix,20 min,1 h,1 h 20,0 min,6 personnes,"['120 g parmesan râpé', '300 g de blanc de poulet', '2  oignons', ""3  gousses d'ail"", ""40 g d'huile d'olive"", ""2 c.c. d'herbes de Provence"", '140 g de concentré de tomate', ""125 ml d'eau"", '125 ml de vin blanc', '700 g de coulis de tomate', '230 g de riz basmati', '1 pincée de sel', '1 pincée de poivre']"
Gâteau au yaourt,Magimix,10 min,25 min,35 min,0 min,6 personnes,"['125 g yaourt', '125 g de sucre semoule', '375 g de farine', ""125 g d'huile de colza"", '2  œufs', '1 sachet de levure chimique', '1 pincée de sel', '200 g de sucre glace', ""1  blanc d'œuf""]"
Purée de céleri-rave,Magimix,5 min,30 min,35 min,0 min,4 personnes,"['1 pincée de sel', '1 pincée de poivre', ""2 c.s. d'huile d'olive"", '1  céleri-rave', '100 ml de crème liquide entière']"
Glaçage,Magimix,10 min,0 min,10 min,0 min,1 bol,"['200 g de sucre glace', ""1  blanc d'œuf""]"
Soupe à l'oignon,Magimix,10 min,55 min,1 h 5,0 min,6 personnes,"['100 ml de vin blanc', '1 c.s. de farine (ou de Maïzena®)', '1 pincée de sel', '1 pincée de poivre', '50 g de beurre', ""1 L d'eau chaude"", '5  gros oignons', '1  cube de bouillon de poulet', '100 g de comté râpé', '4 tranches de vieux pain de campagne', ""1.5 c.s. d'huile d'olive"", '1 c.s. de basilic', '1 c.s. de thym', '1 c.s. de ciboulette', ""150 g d'emmental râpé"", '1 pincée de sel', '1 pincée de poivre']"
Gratin de pommes de terre au romarin,Magimix,15 min,1 h,1 h 15,0 min,6 personnes,"['1 kg de pommes de terre', ""1  gousse d'ail"", '1 pincée de muscade', '3 brins de romarin frais', '1 pincée de sel', '1 pincée de poivre 5 baies', ""130 g d'emmental"", '50 g de parmesan râpé', '2 c.c. de beurre', '400 ml de lait', '80 ml de crème liquide']"
Mousse à la crème de marrons,Cédric,10 min,0 min,2 h 10,2 h,6 personnes,"['500 g de crème de marrons', '250 g de mascarpone', '4  œufs']"
Riz à la vapeur,Magimix,5 min,25 min,30 min,0 min,4 personnes,"['300 g de riz', ""300 ml d'eau"", '1 pincée de safran', '1 pincée de sel']"
Pain chinois,Magimix,5 min,20 min,1 h 30,1 h 5,6 pains,"['1 c.c. de levure de boulanger', '20 g de sucre', ""15 ml d'huile de tournesol"", '250 g de farine']"
Pains chinois (Pétrin XL),Magimix,5 min,20 min,1 h 30,1 h 5,12 pains,"['2 c.c. de levure de boulanger', '40 g de sucre', ""30 ml d'huile de tournesol"", '500 g de farine']"
Nouilles sautées aux légumes,Magimix,25 min,10 min,35 min,0 min,4 personnes,"['1  carotte', '1  poivron rouge', '1  pamplemousse', '1 c.s. de beurre de cacahuètes', '1 c.s. de sauce soja', ""1 c.s. d'huile de sésame"", '2  oignons nouveaux', '1 poignée de cacahuètes concassées', '30 g de graines de courge', '1 bouquet de coriandre ciselée', '300 g de nouilles de riz', ""125 g d'haricots mungo""]"
Wok de poulet,Magimix,15 min,20 min,35 min,0 min,4 personnes,"[""3 c.s. d'huile de sésame"", '3  blancs de poulet', '1  oignon', '50 g de gingembre', '50 g de maïs miniature', '1  poivron rouge', '1  carotte', ""100 g de châtaignes d'eau"", '275 g de pâtes aux œufs', '1  piment rouge', '50 g de pois gourmands', '2  oignons nouveaux', '3 c.s. de sauce soja', '2 c.c. de cassonade', '75 ml de fond de volaille']"
Brioche chinoise,Magimix,30 min,20 min,2 h 50,2 h,6 pains,"['225 ml de lait', '1 sachet de levure de boulanger', '400 g de farine T45', '50 g de sucre', '1 c.c. de sel', ""200 g d'échine de porc"", '2  saucisses chinoises', '1  oignon jaune', '4  cives', '150 g de shiitake', '1 c.s. de sucre', '2 c.s. de nuoc-mâm', ""25 ml d'huile de sésame"", '12  œufs durs de caille', '1 pincée de sel', '1 pincée de poivre']"
Potage asiatique aux œufs,Magimix,10 min,15 min,25 min,0 min,6 personnes,"['100 g de pousses de soja', '1 boîte de chair de crabe', '2 c.s. de vinaigre de riz', '0.5 bouquet de coriandre', '2 c.c. de sauce soja', ""1.2 L d'eau chaude"", '1  piment rouge', '3  œufs battus', '1 bâton de citronnelle', '3  cubes de bouillon miso', '1 c.c. de fécule de maïs (Maïzena®)', '0.5  oignon rouge', '1  oignon nouveau']"
Soupe à l'oignon au curry,Magimix,10 min,55 min,1 h 5,0 min,6 personnes,"['100 ml de vin blanc', '1 c.s. de farine', '1 c.s. de curry', '1 pincée de sel', '1 pincée de poivre 5 baies', '100 g de mimolette', '50 g de beurre', ""1 L d'eau chaude"", '5  gros oignons', '1  cube de bouillon de poule', '1 c.s. de cassonade', '4 tranches de pain de campagne de la veille', ""1.5 c.s. d'huile d'olive"", '1 c.s. de coriandre', ""150 g d'emmental râpé"", '1 pincée de sel', '1 pincée de poivre']"
Salade asiatique carotte-gingembre,Magimix,10 min,0 min,10 min,0 min,4 personnes,"['70 ml de vinaigre de riz', '5 c.c. de gingembre', '1 bouquet de coriandre', '5 c.s. de raisins secs', '1 c.s. de graines de sésame grillées', '0.5 c.c. d’huile de sésame', '750 g de carottes', '2 c.s. de miel']"
Riz safrané à la vapeur,Magimix,2 min,25 min,27 min,0 min,4 personnes,"['300 g de riz basmati', '1 pincée de safran en poudre', '1 c.c. de sel fin', ""300 ml d'eau""]"
Naan,Magimix,5 min,5 min,40 min,30 min,6 pains,"['320 g de farine', '0.5 sachet de levure sèche de boulanger', '1 c.c. de sel', '2 c.s. de beurre mou', ""1 c.s. d'huile d'olive"", '100 ml de lait', '125 g yaourt nature']"
Quiche courgette et chèvre,Magimix,10 min,1 h,1 h 10,0 min,6 personnes,"['1  pâte brisée', '2 c.s. de moutarde Savora®', '1 pincée de sel', '1 pincée de poivre', '200 ml de lait', '4  œufs', '200 ml de crème liquide entière', '200 g courgette', '1  oignon', '100 g de fromage de chèvre']"
Galettes de poisson classiques,Magimix,15 min,10 min,25 min,0 min,4 personnes,"['1  citron jaune bio', '1 c.s. de persil plat haché', '1 c.c. de graines de fenouil', '1 pincée de sel', '1 pincée de poivre', ""1.5 c.s. d'huile d'olive"", '1  oignon nouveau', '75 g de poivron vert (½ pièce)', '1  piment rouge', '1  œuf', '500 g de cabillaud', '2 bâtons de citronnelle']"
Houmous de carottes,Magimix,10 min,0 min,10 min,0 min,1 bol,"['400 g de carottes', '250 g de pois chiches', '50 g de jus de citron jaune', '40 g de tahin', ""1  gousse d'ail"", '15 g de miel', '1 c.s. de cumin', '2 c.c. de curcuma', ""25 g d'huile d'olive""]"
Flan coco Malibu,Hanna Buldra,15 min,35 min,50 min,0 min,6 personnes,"['400 g de lait concentré sucré (1 boîte)', '400 g de lait', '1 sachet de sucre vanillé', ""1 c.c. d'arôme vanille"", '3  œufs', '100 g de sucre', '2 c.s. de Malibu®', '100 g de noix de coco']"
Pommes façon pommes au four,fab gillard,10 min,20 min,30 min,0 min,7 pièces,"['7  pommes', '100 g de confiture de fraises']"
Fiadone,Karine 2b,5 min,30 min,35 min,0 min,6 personnes,"['500 g de brocciu', '1  citron jaune', '4  œufs', '180 g de sucre', ""1 c.s. d'eau de vie"", '1 noix de beurre']"
Muffins choco-amandes,Romain F.,10 min,15 min,25 min,0 min,12 pièces,"['125 g de farine', '0.5 sachet de levure chimique', ""100 g de poudre d'amandes"", '70 g de sucre', '1 pincée de sel', '1  œuf', '200 ml de lait', ""50 ml d'huile de colza"", '100 g de pépites de chocolat']"
Semoule au lait à la Vanille,Fab Gillard,5 min,13 min,18 min,0 min,4 personnes,"['1 L de lait', '140 g de semoule fine', '70 g de sucre', ""1 c.c. d'extrait de vanille""]"
Gâteau aux nectarines,Magimix,5 min,1 min,6 min,0 min,10 personnes,"[""150 g de poudre d'amandes"", '150 g de beurre mou', '150 g de farine', '0.5 sachet de levure chimique', '3  œufs', ""0.5 c.c. d'extrait de vanille"", '150 g de sucre blond', '4  nectarines', '2 c.s. de glaçage à la vanille (facultatif)']"
Beurre de cajou,Magimix,1 min,0 min,1 min,0 min,1 bol,"['125 g de noix de cajou', '1 c.c. de sel']"
Smoothie glacé au miel,Magimix,15 min,0 min,12 h 15,12 h,4 verres,"['600 g de yaourt grec', ""85 g de sirop d'agave"", ""1  blanc d'œuf"", '1 c.c. de pollen']"
Milkshake banane amande,Magimix,15 min,0 min,12 h 15,12 h,4 personnes,"['4  bananes pelées', '1  yaourt nature soja', ""250 ml de lait d'amandes"", '30 g de miel', ""50 g d'amandes concassées"", ""10 ml d'arôme vanille"", ""1  blanc d'œuf"", ""250 ml d'eau de coco""]"
Yaourt glacé aux abricots,Magimix,10 min,0 min,10 min,0 min,2 personnes,"[""2  yaourts au lait d'amande nature"", ""400 g d'abricots surgelés"", '60 g de cassonade']"
Risotto aux cèpes,Magimix,10 min,25 min,35 min,0 min,4 personnes,"['100 ml de vin blanc', '320 g de riz spécial risotto', '30 g de parmesan', '50 g de beurre', ""2 c.s. d'huile d'olive"", ""700 ml d'eau"", '1  oignon', '1  cube de bouillon de légumes', '300 g de cèpes frais']"
Risotto saint jacques,Angelbretagne,10 min,25 min,35 min,0 min,6 personnes,"['60 g de parmesan', '1  oignon nouveau', '40 g de beurre', '1 noix de beurre', ""1  gousse d'ail"", '1  échalote', '320 g de riz à risotto', ""4 c.s. d'huile olive"", ""750 ml d'eau"", '100 ml de champagne', '1  cube de bouillon de volaille', '150 g de tomates cerises', '20  noix de Saint-Jacques sans corail', '10 feuilles de roquette']"
Risotto aux orties,Monny B,30 min,26 min,56 min,0 min,2 personnes,"['150 g de riz', '1  oignon rouge', ""2 bouquets d'orties"", '350 ml de cube de bouillon de légumes', ""3 c.s. d'huile d'olive"", '0.5 verre de vin blanc', '1 noix de beurre']"
Risotto poireau poulet,adri1012,10 min,30 min,40 min,0 min,2 personnes,"['200 g de riz à risotto', '1  blanc de poulet', '1  poireau', '1  oignon', ""1 c.s. d'huile d'olive"", '100 ml de crème fraîche', '15 g de parmesan (selon votre goût)', '1  bouillon de légumes', ""500 ml d'eau"", '40 ml de vin blanc']"
Risotto Poulet Chanterelle Chorizo,Anthony,30 min,25 min,1 h 5,10 min,4 personnes,"['400 g de poulet', '1  échalote', ""1  gousse d'ail"", ""2 c.s. d'huile d'olive"", '20 g de beurre', '100 g de chanterelles', '200 g de riz à risotto', '1  chorizo', ""500 ml d'eau"", '100 ml de vin blanc', '1  bouillon de volaille', '100 g de parmesan râpé']"
Risotto au safran,Magimix,10 min,30 min,40 min,0 min,4 personnes,"['100 ml de vin blanc', '320 g de riz spécial risotto', '2 pincées de safran', '30 g de parmesan râpé', '50 g de beurre', ""2 c.s. d'huile d'olive"", ""750 ml d'eau"", '1  oignon', '1  cube de bouillon de légumes']"
Lasagnes saumon épinards,Lauroune69,45 min,45 min,1 h 30,0 min,6 personnes,"[""600 g d'épinards"", '400 g de filets de saumon', '200 g de fromage râpé', '0.5 L de béchamel', '10  feuilles de lasagne', ""1  gousse d'ail"", '1 pincée de sel', '1 pincée de poivre']"
Risotto poulet courgettes,Caroline,30 min,25 min,1 h 5,10 min,4 personnes,"['400 g de blancs de poulet', '1  échalote', '20 g de beurre', '100 g de champignons', '200 g de riz à risotto', '100 ml de vin blanc', '2  courgettes', ""0.5 L d'eau"", '1  bouillon de volaille', '20 g de parmesan']"
"Semoule à la vapeur, petits légumes",Aurélie Kalt,10 min,45 min,55 min,0 min,6 personnes,"['400 g de semoule', '1 c.c. de curcuma', '1 c.s. de ras-el-hanout', '3  merguez', '1  courgette', '2  oignons nouveaux', '3  carottes', ""1  gousse d'ail"", '2 brins de thym']"
Pâtes fraîches sans œuf,Magimix,10 min,5 min,45 min,30 min,6 personnes,"['250 g de farine de semoule de blé dur', '1 pincée de sel', ""1 c.s. d'huile d'olive"", ""250 g d'eau"", '250 g de farine']"
Pâtes fraîches,Magimix,5 min,3 min,38 min,30 min,6 personnes,"['400 g de farine tamisée', ""1 c.s. d'huile d’olive"", '4  œufs bio', ""2  jaunes d'œufs bio""]"
Pâtes saumon courgettes et boursin,kat35,10 min,25 min,35 min,0 min,5 personnes,"['1  oignon', '1  échalote', ""1 c.s. d'huile d'olive"", '1 c.s. de beurre', '2  courgettes', '1.5 c.c. de fumet de poisson', '1 pincée de sel', '150 g de fromage ail & fines herbes', '1 pincée de poivre', '400 g de saumon fumé', '400 g de pâtes', '1 c.s. de parmesan']"
Lasagnes thon chèvre épinards,Swaz,15 min,30 min,45 min,0 min,4 personnes,"['500 ml de béchamel', ""1 kg d'épinards décongelés"", '2 boîtes de thon', '1  bûche de chèvre', '100 g de gruyère râpé', '500 g de feuilles de lasagne']"
One pot pasta,Aurélie Kalt,5 min,20 min,25 min,0 min,4 personnes,"['250 g de farfalle', ""600 ml d'eau"", '100 g de saumon fumé', '1  poivron', '1  courgette', '10 feuilles de basilic', '10  tomates cerises', '30 g de champignons de Paris', ""2 c.s. d'huile d'olive"", '1  oignon', '1 pincée de sel', '1 pincée de poivre', ""1 pincée de piment d'Espelette""]"
Gnocchis de pommes de terre,kat35,1 h 30,20 min,1 h 50,0 min,6 personnes,"['700 g de pommes de terre (purée)', '200 g de farine', '1 pincée de sel', '1 pincée de poivre']"
Risotto aux fruits de mer,latendresse73,5 min,30 min,35 min,0 min,3 personnes,"['200 g de riz à risotto', '250 g de fruits de mer surgelés', '1  oignon', ""1  gousse d'ail"", '1  échalote', ""1 c.s. d'huile"", '1  cube de bouillon de volaille', '100 ml de vin blanc', ""500 ml d'eau"", '1 c.s. de crème fraîche', '1 pincée de pistil de safran (facultatif)', '40 g de parmesan']"
Risotto de coquillettes aux lardons,kat35,5 min,25 min,30 min,0 min,4 personnes,"['1  oignon', '30 g de beurre', ""1 c.s. d'huile d'olive"", '300 g de coquillettes', '100 ml de vin blanc', ""750 ml d'eau"", '1  cube de bouillon de volaille', '300 g de lardons', '50 g de parmesan râpé', '0.5 c.c. de curcuma (facultatif)', '1 pincée de poivre']"
Spaghettis all'arrabbiata,Magimix,5 min,35 min,40 min,0 min,4 personnes,"[""1  gousse d'ail"", '5 brins de persil', '1 pincée de sel', ""2 c.s. d'huile d'olive"", '500 g de tomates pelées', '1  petit piment rouge', '400 g de spaghettis', '2 c.c. de gros sel', '1 pincée de poivre']"
Rigatoni sauce chipolatas,Marcel Matiussi,5 min,30 min,35 min,0 min,4 personnes,"['2  chipolatas cuites', '300 g de tomates concassées', '1  oignon', ""1  gousse d'ail"", ""3 c.s. d'huile d'olive"", '500 g de rigatoni', '1 pincée de sel', '1 pincée de poivre', '30 g de parmesan râpé']"
Risotto aux crevettes,Couleur Cuisine,10 min,25 min,35 min,0 min,4 personnes,"['100 ml de vin blanc', '320 g de riz spécial risotto', ""1  gousse d'ail"", '1 pincée de sel', '1 pincée de poivre', '100 g de parmesan', '40 g de beurre', ""2 c.s. d'huile d'olive"", ""750 ml d'eau"", '1  oignon nouveau', '1  échalote', '1  cube de bouillon de légumes', '20  crevettes', ""1  gousse d'ail"", '1 c.s. de miel', '2  citrons jaunes']"
Risotto Poulet Coco,isabelle,15 min,40 min,55 min,0 min,4 personnes,"['250 g de riz', '1  oignon', ""1 c.s. d'huile d'olive"", '750 ml de lait de coco', '4  blancs de poulet', '1 pincée de sel', '1 pincée de poivre', '15 feuilles de roquette', '10  tomates cerises', '1 pincée de paprika', ""1 c.c. d'huile d'olive"", '1 c.c. de vinaigre balsamique']"
Risotto de base,Magimix,10 min,25 min,35 min,0 min,4 personnes,"['100 ml de vin blanc', '320 g de riz spécial risotto', ""1  gousse d'ail"", '1 pincée de sel', '1 pincée de poivre', '100 g de parmesan râpé', '40 g de beurre', ""2 c.s. d'huile d'olive"", ""750 ml d'eau"", '1  oignon nouveau', '1  échalote', '1  cube de bouillon de légumes']"
Frites de polenta,Magimix,10 min,10 min,20 min,0 min,4 personnes,"['250 g de polenta', '1 c.s. de fleur de sel', '70 g de parmesan', '150 ml de crème fraîche']"
Risotto potiron-bacon,Magimix,10 min,25 min,35 min,0 min,4 personnes,"['100 ml de vin blanc', '320 g de riz spécial risotto', ""1  gousse d'ail"", '1 pincée de sel', '1 pincée de poivre', '100 g de parmesan', '40 g de beurre', ""2 c.s. d'huile d'olive"", ""750 ml d'eau"", '1  oignon nouveau', '1  échalote', '1  cube de bouillon de légumes', '120 g de lanières de bacon fumé', '600 g de potiron']"
Galettes de maïs,Magimix,5 min,10 min,15 min,0 min,4 personnes,"['100 g de farine', '1 pincée de sel', '1 pincée de poivre', '1 noix de beurre', '1 c.s. de lait', '250 g de maïs', '3  œufs']"
Polenta au pesto rosso et tomates,Magimix,10 min,5 min,15 min,0 min,6 personnes,"['250 g de polenta', ""850 ml d'eau"", '1 c.s. de fleur de sel', '4 c.s. de pesto rosso', '100 g de parmesan râpé', '150 ml de crème fraîche', '4  tomates cerise confites', '30 g de parmesan râpé']"
Blé façon risotto,Magimix,5 min,25 min,30 min,0 min,4 personnes,"['300 ml de vin blanc', '400 g de blé (type Ebly®)', '5 feuilles de basilic', '45 g de parmesan râpé', ""1 c.s. d'huile d'olive"", ""350 ml d'eau"", '200 ml de crème fraîche', '1  échalote', '100 g de petits pois précuits', '100 g de fèves précuites', '1  cube de bouillon de volaille', '100 g de chorizo']"
Spaghettis carbonara,Magimix,5 min,10 min,15 min,0 min,6 personnes,"['50 ml de vin blanc', '400 g de spaghettis', '1 pincée de poivre', '2 c.c. de gros sel', '150 g de parmesan', '200 g de lard', '200 ml de crème épaisse', ""6  jaunes d'œufs""]"
Risotto tomates cerise et roquette,Magimix,10 min,25 min,35 min,0 min,4 personnes,"['100 ml de vin blanc', '320 g de riz spécial risotto', ""1  gousse d'ail"", '6 feuilles de basilic', '1 pincée de sel', '1 pincée de poivre', '100 g de parmesan rapé', '40 g de beurre', ""750 ml d'eau"", '1  oignon nouveau', '1  échalote', '150 g de tomates cerises', '5 feuilles de roquette', '1  cube de bouillon de volaille']"
Gratin de légumes au mélange crémeux,Magimix,10 min,35 min,45 min,0 min,6 personnes,"['200 g de pommes de terre', '200 g de patate douce', '50 g de chapelure', ""4 brins d'estragon"", '1 pincée de sel', '1 pincée de poivre 5 baies', '100 ml de lait', '100 g de ricotta', '2  carottes violettes', '0.5  courgette', '100 g de chou romanesco', '210 ml de crème liquide']"
Purée de pommes de terre,Magimix,10 min,30 min,40 min,0 min,4 personnes,"['1 kg de pommes de terre à purée', '0.5 c.c. noix de muscade', '1 pincée de sel', '1 pincée de poivre', '50 g de beurre', '100 ml de lait']"
Glace au parmesan,Magimix,0 min,0 min,0 min,0 min,4 personnes,"['350 g de lait entier', '250 g de crème liquide', '130 g de parmesan', '20 g de lait en poudre', ""25 g d'huile d'olive""]"
Dip à la mode créole,Magimix,10 min,5 min,15 min,0 min,1 bol,"['1  poivron rouge', '100 ml de lait de coco', '200 g de fromage blanc', '0.5  de jus de citron vert', '1 pincée de sel', '1 pincée de piment de cayenne']"
Cookies américains aux chunks,Lili Cube,8 min,12 min,50 min,30 min,6 personnes,"['1  œuf', '100 g de cassonade', '60 g sucre en poudre', '100 g de beurre doux mou', '225 g de farine', '1 c.c. de levure', '100 g de pépites de chocolat (chunks)', '1 pincée de sel', '10 ml de vanille liquide']"
Tablette chocolat cranberries,Lili Cube,7 min,0 min,7 min,0 min,6 personnes,"['300 g de pistoles de chocolat noir Vénézuela', '70 g de cranberries']"
