recipe_name,tag,image_url,recipe_url,page,author,preparation_time,cook_time,total_time,rest_time,quantity,ingredients
Mini-cakes tomates séchées et mozza,APÉRITIFS,https://assets.magimix.com/files/rec_39107/mini cakes tomates sechees mozza_Avatar.jpg,https://www.magimix.fr/recettes/mini-cakes-tomates-sches-et-mozza_c,9,Magimix,10,15,25,0,4 personnes,"['1  mozzarella', '250 g de tomates séchées', '150 g de farine', ""100 ml d'huile d'olive"", '125 ml de lait chaud', '1 sachet de levure chimique', '3  œufs', '100 g de gruyère râpé', '1 pincée de sel', '1 pincée de poivre']"
Mini-cakes olives noires et feta,APÉRITIFS,https://assets.magimix.com/files/rec_439/mini cakes olives feta_Avatar.jpg,https://www.magimix.fr/recettes/mini-cakes-olives-noires-et-feta_c,9,Magimix,10,15,25,0,4 personnes,"['150 g de feta', ""75 g d'olives noires"", '150 g de farine', ""100 ml d'huile d'olive"", '125 ml de lait chaud', '1 sachet de levure chimique', '3  œufs', '100 g de gruyère', '1 pincée de sel', '1 pincée de poivre']"
Mini-cakes jambon et olives,APÉRITIFS,https://assets.magimix.com/files/rec_47693/mini cakes jambon olives_Avatar.jpg,https://www.magimix.fr/recettes/mini-cakes-jambon-et-olives_c,9,Magimix,10,15,25,0,4 personnes,"[""75 g d'olives vertes"", '150 g de farine', ""100 ml d'huile d'olive"", '125 ml de lait chaud', '1 sachet de levure chimique', '3  œufs', '100 g de gruyère', '200 g de jambon en dés', '1 pincée de sel', '1 pincée de poivre']"
Mini-cakes chorizo et comté,APÉRITIFS,https://assets.magimix.com/files/rec_85078/mini cakes chorizo comté_Avatar.jpg,https://www.magimix.fr/recettes/mini-cakes-chorizo-et-comt_c,9,Magimix,10,15,25,0,4 personnes,"['200 g de chorizo', '150 g de farine', ""100 ml d'huile d'olive"", '125 ml de lait chaud', '1 sachet de levure chimique', '100 g de comté râpé', '3  œufs']"
Sablés au parmesan,APÉRITIFS,https://assets.magimix.com/files/rec_38633/sables au parmesan_Avatar.jpg,https://www.magimix.fr/recettes/sabls-au-parmesan_c,9,Magimix,10,15,2,2,4 personnes,"['100 g de farine T55', '100 g de parmesan râpé', '80 g de beurre mou', '1 c.s. de romarin séché']"
Gressins,APÉRITIFS,https://assets.magimix.com/files/rec_59120/gressins_Avatar.jpg,https://www.magimix.fr/recettes/gressins_c,9,Magimix,10,15,1,1,4 personnes,"['1 sachet de levure de boulanger déshydratée', ""140 ml d'eau"", '250 g de farine T45', '1 c.c. de sel', ""25 ml d'huile d'olive"", ""1 c.c. d'origan séché""]"
Cheese crackers,APÉRITIFS,https://assets.magimix.com/files/rec_71226/cheese crackers_Avatar.jpg,https://www.magimix.fr/recettes/cheese-crackers_c,9,Magimix,5,10,1,1,4 personnes,"['120 g de farine T55', '0.5 sachet de levure de boulanger déshydratée', '100 g de parmesan râpé', '30 g de beurre froid', ""2 c.s. d'eau"", '20 g de graines de courge', '1 c.c. de graines de sésame']"
Energy balls à la figue,DESSERTS,https://assets.magimix.com/files/rec_130787/energy balls figue_avatar.jpg,https://www.magimix.fr/recettes/energy-balls-a-la-figue,9,Magimix,10,0,1,1,6 pièces,"['200 g de figues sèches', '150 g noix de cajou', ""1 c.s. de sirop d'érable"", '50 g de chocolat noir', '5 c.s. de noix de coco en poudre']"
"Jus cranberries, orange, poire",BOISSONS,https://assets.magimix.com/files/rec_98754/fr_1627607024jus_juice_expert_magimix_extracteur_de_jus.jpg,https://www.magimix.fr/recettes/jus-cranberries_-orange_-poire_ex,9,Magimix,5,0,1,1,2 verres,"['10 g de cranberries', '2  oranges', '1  poire', '250 ml de thé']"
Salade hivernale,ENTRÉES,https://assets.magimix.com/files/rec_54352/Saladedel_gumesautomne.jpg,https://www.magimix.fr/recettes/salade-hivernale-1_c,9,Magimix,30,15,45,0,4 personnes,"['600 g de courge butternut', '2  betteraves crues', ""150 g d'haricots verts"", '100 g de feta', '1  citron jaune', '1 c.c. de moutarde de Dijon', ""6 c.s. d'huile d'olive"", '1 c.c. de thym']"
Spaghettis de carottes au potiron,LÉGUMES,https://assets.magimix.com/files/rec_76416/Spaghettis_de_carottes_au_potiron_3_.jpg,https://www.magimix.fr/recettes/spaghettis-de-carottes-au-potiron-1_c,9,Magimix,20,20,40,0,4 personnes,"['10  carottes', ""1  gousse d'ail"", '1  échalote', '8 tranches de jambon cru', '100 g de ricotta', '250 g de purée de potiron', '150 ml de crème liquide', ""1 c.s. d'huile d'olive"", '1 c.c. de noix de muscade']"
Courgettes au pesto,LÉGUMES,https://assets.magimix.com/files/rec_6165/1133927327Courgettes_au_pesto_3_.jpg,https://www.magimix.fr/recettes/courgettes-au-pesto-1_c,9,Magimix,10,0,10,0,4 personnes,"['5  courgettes', '50 g de pignons de pin', '50 g de parmesan râpé', ""100 ml d'huile d'olive"", ""2  gousses d'ail"", '1 bouquet de basilic']"
"Jus pomme, carotte, orange",BOISSONS,https://assets.magimix.com/files/rec_46627/fr_Jus_pomme_carotte_orange_Juice_Expert_Magimix.jpg,https://www.magimix.fr/recettes/jus-pomme_-carotte_-orange_ex,9,Magimix,5,0,5,0,2 verres,"['1  pomme', '2  oranges', '2  carottes', '1 cm de gingembre']"
Tartare de saumon et de lotte,POISSONS,https://assets.magimix.com/files/rec_31/1028537970tartareysaumon.jpg,https://www.magimix.fr/recettes/tartare-de-saumon-et-de-lotte_c,9,Magimix,20,0,20,0,6 personnes,"['400 g de chair de saumon', '400 g de chair de lotte', '30 ml de jus de citron vert', ""4 c.s. d'huile d'olive"", '1 bouquet de ciboulette', '1  poivron jaune ou rouge', '4 c.s. de câpres', '2  oignons', '1 pincée de poivre']"
Sorbet abricot-basilic,GLACES,https://assets.magimix.com/files/rec_375/avatar_sorbet-abricot-avatar.jpg,https://www.magimix.fr/recettes/sorbet-abricot-basilic_i,9,Lucie,15,0,45,30,6 personnes,"[""500 g d'abricots frais dénoyautés"", '200 g de sucre en poudre', ""200 ml d'eau"", '1 brin de basilic frais']"
Sauce caesar,SAUCES,https://assets.magimix.com/files/rec_99992/avatar_ceasar-sauce-avatar.jpg,https://www.magimix.fr/recettes/sauce-caesar_r,9,Caroline,10,0,10,0,1 bol,"[""2  jaunes d'œufs"", ""2  gousses d'ail"", ""100 g d'anchois marinés à l'huile"", '40 g de parmesan râpé', '40 ml de vinaigre de Xérès', ""100 ml d'huile d'olive"", '300 ml de crème liquide', ""6 pincées de piment d'Espelette""]"
Spaghettis caprese,LÉGUMES,https://assets.magimix.com/files/rec_82358/fr_Caprese_Noodles_pg7071_2.jpg,https://www.magimix.fr/recettes/spaghettis-caprese-1_,9,Magimix,10,15,25,0,4 personnes,"['2  courgettes jaunes', '2  courgettes vertes', ""1  gousse d'ail"", ""4 c.s. d'huile d'olive"", '200 g de mozzarella', '300 g de petites tomates', '30 g de basilic']"
Salade grecque à la feta grillée,ENTRÉES,https://assets.magimix.com/files/rec_92257/fr_Greek_Salad_pg3637_6.jpg,https://www.magimix.fr/recettes/salade-grecque-a-la-feta-grillee-1_,9,Magimix,15,20,35,0,4 personnes,"['200 g de feta', ""3 c.s. d'huile d'olive"", '1  concombre', '1  oignon rouge', '2 c.s. de vinaigre de vin rouge', ""1 c.c. d'origan"", '200 g de tomates cerises', ""100 g d'olives dénoyautées""]"
Salade asiatique carotte-gingembre,ENTRÉES,https://assets.magimix.com/files/rec_51380/fr_1329932663Asian_Carrot_Ginger_salad_p.jpg,https://www.magimix.fr/recettes/salade-asiatique-carotte-gingembre-1_,9,Magimix,10,0,10,0,3 personnes,"['70 ml de vinaigre de riz', '2 c.s. de miel', ""0.5 c.c. d'huile de sésame"", '10 g de gingembre', '6  carottes', '5 c.s. de raisins secs', '1 bouquet de coriandre', '1 c.s. de graines de sésame grillées']"
Panais carbonara,LÉGUMES,https://assets.magimix.com/files/rec_22572/fr_Parsnip_Carbonara_pg9697_2.jpg,https://www.magimix.fr/recettes/panais-carbonara-1_,10,Magimix,15,10,25,0,4 personnes,"['1 kg de panais', ""2 c.s. d'huile d'olive"", ""2  jaunes d'œufs"", '60 ml de crème fraîche', '80 g de parmesan râpé', ""100 g de jeunes pousses d'épinard""]"
"Mousse de saumon, sauce ciboulette",POISSONS,https://assets.magimix.com/files/rec_27153/avatar_mousse-saumon-avatar.jpg,https://www.magimix.fr/recettes/mousse-de-saumon_-sauce-ciboulette_i,10,delf745,5,5,10,0,6 personnes,"['400 g de saumon frais', '2  œufs', '100 g de crème épaisse', '1 pincée de sel', '1 pincée de poivre', '1 c.c. de moutarde', '1  citron jaune', '200 ml de crème liquide', '15 g de beurre doux', '1 c.s. de ciboulette fraîche', '1 pincée de sel', '1 pincée de poivre']"
Pâte à choux,BOULANGERIE,https://assets.magimix.com/files/rec_933/484899938choux.jpg,https://www.magimix.fr/recettes/pandacircte-andagrave-choux,10,Magimix,15,20,35,0,15 personnes,"[""200 ml d'eau"", '75 g de beurre', '150 g de farine', '4  œufs']"
Crème brocoli gruyère,BÉBÉS,https://assets.magimix.com/files/rec_85141/fr_Fotolia_124054346_S.jpg,https://www.magimix.fr/recettes/creme-brocoli-gruyere,10,Magimix,3,20,23,0,2 personnes,"['150 g de brocoli', '20 g de gruyère râpé']"
Mousse au chocolat,DESSERTS,https://assets.magimix.com/files/rec_42218/555391163mousse_au_chocolat.jpg,https://www.magimix.fr/recettes/mousse-au-chocolat,10,Magimix,20,5,3,3,4 personnes,"['200 g de chocolat noir', '50 g de sucre semoule', '5  œufs']"
Chips de légumes,LÉGUMES,https://assets.magimix.com/files/rec_34862/Chips_de_l_gumes.jpg,https://www.magimix.fr/recettes/chips-de-legumes,10,Magimix,15,5,20,0,4 personnes,"['4  pommes de terre', '2  courgettes', '4  navets']"
Tian aux légumes du soleil,LÉGUMES,https://assets.magimix.com/files/rec_75692/Tian.jpg,https://www.magimix.fr/recettes/tian-aux-legumes-du-soleil,10,Magimix,20,1,1,0,4 personnes,"['250 g de tomates', '1  poivron rouge', '1  courgette', '1  aubergine', ""75 g d'olives noires"", ""3  gousses d'ail"", '1 brin de thym']"
Soupe glacée de poivrons au mascarpone,SOUPES,https://assets.magimix.com/files/rec_60866/Soupe_de_poivron.jpg,https://www.magimix.fr/recettes/soupe-glacee-de-poivrons-au-mascarpone,10,Magimix,20,35,3,3,4 personnes,"['3  poivrons rouges', '1  pomme de terre', ""1  gousse d'ail"", '0.5  oignon', '1  bouquet garni', '100 g de mascarpone', ""600 ml d'eau"", ""3 c.s. d'huile d'olive"", '3 g de gingembre en poudre']"
Rillettes saumon et truite fumée,APÉRITIFS,https://assets.magimix.com/files/rec_19776/avatar_rillette-avatar.jpg,https://www.magimix.fr/recettes/rillettes-saumon-et-truite-fume_i,10,delf745,5,20,25,0,1 bol,"['120 g de saumon', '25 g de fromage blanc', '25 g de truite fumée']"
Velouté de courgettes,SOUPES,https://assets.magimix.com/files/rec_3365/fr_fr_br_fr_756882268courgettesysoupe.jpg,https://www.magimix.fr/recettes/veloute-de-courgettes,10,Magimix,20,15,35,0,6 personnes,"['4  courgettes', '1  cube de bouillon de volaille', ""600 ml d'eau"", ""2 branches d'estragon fraîches"", '100 ml de crème fraîche liquide']"
Verrines de saumon fumé et purée d'avocats,ENTRÉES,https://assets.magimix.com/files/rec_19527/verrines saumon avocat_avatar.jpg,https://www.magimix.fr/recettes/verrines-de-saumon-fume-et-puree-d_avocats,10,Magimix,15,0,15,0,4 personnes,"['1  avocat bien mûr', '200 g de fromage frais', '1  pavé de saumon', '1  citron jaune', '1 pincée de sel', '1 pincée de poivre', '1 pincée de paprika', '1 brin de coriandre']"
Salade de Noël,ENTRÉES,https://assets.magimix.com/files/rec_12531/avatar_salade-noel-avatar.jpg,https://www.magimix.fr/recettes/salade-de-noel,10,Magimix,15,0,15,0,4 personnes,"['50 g de mâche', '50 g de laitue', '0.5  pomme', '10  grains de raisin', '20 g de cerneaux de noix', '1 tranche de saumon fumé', ""1 tranche de pain d'épices"", '15 g de foie gras', '10 g de jambon fumé', '1 c.s. de pignons de pin', '10  tomates cerises', ""3 c.s. d'huile de tournesol"", '3 c.s. de vinaigre de framboises', '2 c.c. de miel', '2 c.c. de moutarde', '1 pincée de sel', '1 pincée de poivre']"
Chapon farci de Noël,VIANDES,https://assets.magimix.com/files/rec_19539/dinde_farcie.jpg,https://www.magimix.fr/recettes/chapon-farci-de-noel,10,Magimix,30,2,2,0,8 personnes,"['1  chapon de 3 kg', '1  échalote', '1 tranche de pain de mie', ""200 g d'épinards frais"", '1  œuf', '1 bouquet de persil', ""1  gousse d'ail"", '2 verres de lait', '60 g de foie gras mi-cuit', '100 g de foies de lapin']"
Crumble salé de Noël,ENTRÉES,https://assets.magimix.com/files/rec_1373/avatar_foir-gras-avatar.jpg,https://www.magimix.fr/recettes/crumble-sale-de-noel,10,Magimix,15,15,30,0,4 personnes,"['2  pommes Golden', '1 c.c. de miel', '50 g de pignons de pin', '200 g de foie gras mi-cuit', ""8 tranches de pain d'épices""]"
Crème brûlée au foie gras de canard,ENTRÉES,https://assets.magimix.com/files/rec_10429/creme_brulee.jpg,https://www.magimix.fr/recettes/creme-brulee-au-foie-gras-de-canard,10,Magimix,15,20,35,0,8 personnes,"['200 g de foie gras frais', '25 ml de lait', '100 ml de crème liquide', ""2  jaunes d'œuf""]"
Mini Bûches de Noël chocolat marron,DESSERTS,https://assets.magimix.com/files/rec_1529/mini buches de noel_avatar.jpg,https://www.magimix.fr/recettes/mini-buches-de-noel_c,10,Magimix,1,10,1,0,8 personnes,"['4  œufs', '125 g de sucre', '125 g de farine', '2 sachets de sucre vanillé', '0.5 sachet de levure', '25 g de sucre glace', '50 g de chocolat noir', '500 g de crème de marrons', '250 g de beurre', '3 c.s. de cognac']"
Pain d'épices,BOULANGERIE,https://assets.magimix.com/files/rec_12507/Fotolia_37829339_L.jpg,https://www.magimix.fr/recettes/pain-d_epices_c,10,Magimix,15,35,50,0,1 pain,"['250 g de miel', '100 g de beurre', '0.5 sachet de levure chimique', '1  œuf', '100 ml de lait', '200 g de farine', '50 g de cassonade', '1 pincée de sel', '1 c.c. gingembre', '1 c.c. cannelle']"
Truffes au chocolat,DESSERTS,https://assets.magimix.com/files/rec_20234/Fotolia_1620197_Subscription_L.jpg,https://www.magimix.fr/recettes/truffes-au-chocolat-1_c,10,Magimix,30,0,2,2,6 personnes,"['250 g de chocolat noir', '100 g de beurre', '2 c.s. de lait', '1 c.s. cacao en poudre (non sucré)', ""2  jaunes d'œufs"", '3 c.s. de sucre', '45 ml de Grand Marnier']"
Pain de Noël,BOULANGERIE,https://assets.magimix.com/files/rec_2172/pain de noel_avatar.jpg,https://www.magimix.fr/recettes/pain-de-noel_c,10,Magimix,15,1,2,1,1 pain,"['300 g de farine', '1 c.c. de sel', '120 g de fruits confits', '1 c.c. de cannelle', '1 zeste de citron jaune', ""180 ml d'eau"", '14 g de levure fraîche de boulanger', '90 g de mélange de noix', '0.5 c.s. de kirsch']"
Cappuccino de Homard,ENTRÉES,https://assets.magimix.com/files/rec_20318/noely03.jpg,https://www.magimix.fr/recettes/cappuccino-de-homard_c,10,Magimix,25,35,1,0,4 personnes,"['1  homard', '1  carotte', '2  oignons', ""1  gousse d'ail"", '1 c.c. de fumet de poisson', ""1 c.s. d'huile d'olive"", '1 c.s. de concentré de tomates', '1 c.s. de farine', '10 ml de crème fraîche liquide', '50 ml de vin blanc', '1 brin de thym', '1 feuille de cerfeuil', '1 pincée de paprika', '300 ml de crème liquide']"
Bûche glacée facile,DESSERTS,https://assets.magimix.com/files/rec_13224/1772407653buche.jpg,https://www.magimix.fr/recettes/buche-glacee-facile_c,10,Magimix,20,0,3,3,4 personnes,"['100 g de chocolat noir', ""3  jaunes d'œufs"", '100 g de sucre glace', '40 cl de crème fraîche épaisse']"
Poires aux épices,DESSERTS,https://assets.magimix.com/files/rec_16205/poires au épices_avatar.jpg,https://www.magimix.fr/recettes/poires-aux-epices_c,10,Magimix,30,15,45,0,4 personnes,"['4  poires', '0.5  citron jaune', '2  oranges', '100 ml de grenadine', '200 g de sucre', '1 c.c. de poivre noir', '1  clou de girofle', '1 pincée de noix de muscade', '0.5 bâton de cannelle', ""1 L d'eau""]"
Clafoutis aux prunes,DESSERTS,https://assets.magimix.com/files/rec_19950/clafoutis prune_avatar.jpg,https://www.magimix.fr/recettes/clafoutis-aux-prunes_c,10,Magimix,15,40,55,0,4 personnes,"['3  prunes violettes', '100 g de farine', '2  œufs', '75 g de sucre', '25 g de beurre', '120 ml de lait', '1 pincée de sel']"
Poulet farci aux épinards,VIANDES,https://assets.magimix.com/files/rec_17346/pouletyfarciyherbesy800.jpg,https://www.magimix.fr/recettes/poulet-farci-aux-epinards_c,10,Magimix,25,1,1,0,4 personnes,"['50 g de mie de pain', ""200 g d'épinards frais"", '2 c.s. de cognac', '150 ml de lait', '50 g de pignons de pin']"
Crème de petits pois à la menthe,SOUPES,https://assets.magimix.com/files/rec_22140/929782639cremeypetitypoisyav.jpg,https://www.magimix.fr/recettes/creme-de-petits-pois-a-la-menthe_c,10,Magimix,10,10,20,0,4 personnes,"['250 g de petits pois surgelés', '1  échalote', '250 ml de bouillon de volaille', '100 g de crème fraîche liquide', '6 g de sucre', '4 feuilles de menthe']"
Chili con carne,VIANDES,https://assets.magimix.com/files/rec_1073/chili con carne_avatar.jpg,https://www.magimix.fr/recettes/chili-con-carne-1_c,10,Magimix,20,55,1,0,4 personnes,"['250 g de viande de bœuf', '500 g de haricots rouges en boîte', '2  oignons', '3  tomates', '70 g de concentré de tomates', ""3 c.s. d'huile d'olive"", ""1  gousse d'ail"", '3 pincées de chili en poudre', '8 gouttes de Tabasco®', '1 pincée de sel', '1 pincée de poivre', '100 g de cheddar']"
Courgettes farcies,VIANDES,https://assets.magimix.com/files/rec_5943/courgettes farcies_avatar.jpg,https://www.magimix.fr/recettes/courgettes-farcies_c,10,Magimix,15,30,45,0,4 personnes,"['4  courgettes', '50 g de lardons fumés', '300 g de chair à saucisse', '1  oignon', ""2 c.s. d'huile d'olive"", '1  œuf', '2 c.s. de parmesan', '20 g de beurre']"
Flan de tomates,VÉGÉTARIENS,https://assets.magimix.com/files/rec_4531/clafoutiylegumes.jpg,https://www.magimix.fr/recettes/flan-de-tomates_c,10,Magimix,30,30,1,0,4 personnes,"['2  tomates', '1  poivron rouge', '3  œufs', ""2 c.s. d'huile d'olive"", '12 feuilles de basilic', '1 pincée de sel', '1 pincée de poivre']"
Gratin de pommes de terre et navets,LÉGUMES,https://assets.magimix.com/files/rec_22209/gratin_3.jpg,https://www.magimix.fr/recettes/gratin-de-pommes-de-terre-et-navets_c,10,Magimix,20,40,1,0,4 personnes,"[""1  gousse d'ail"", '4  pommes de terre', '250 ml de crème fraîche', '75 g de gruyère', '100 g de beurre', '5  navets', '250 ml de lait', '1 pincée de noix de muscade']"
Soupe froide de carottes,SOUPES,https://assets.magimix.com/files/rec_28049/Fotolia_42268143_Subscription_Monthly_XXL.jpg,https://www.magimix.fr/recettes/soupe-froide-de-carottes_c,10,Magimix,30,20,3,3,4 personnes,"['700 g de carottes', '2  oranges non traitées', '1  oignon', '2  cubes de bouillon de volaille', ""1 c.s. de miel d'acacia"", ""650 ml d'eau"", '1 c.c. de cumin', ""1 c.s. d'huile d'olive""]"
Crème de chou-fleur aux petits lardons,SOUPES,https://assets.magimix.com/files/rec_4691/Fotolia_60532100_M.jpg,https://www.magimix.fr/recettes/creme-de-chou-fleur-aux-petits-lardons_c,10,Magimix,15,20,35,0,4 personnes,"['1  chou-fleur', '200 ml de crème fraîche liquide', '0.5 c.c. de noix de muscade', '100 g de lardons']"
Cookies de Pâques,DESSERTS,https://assets.magimix.com/files/rec_14131/avatar_cookies-de-pacques_1398502604.jpg,https://www.magimix.fr/recettes/cookies-de-paques_i,10,Itic Loo,30,12,42,0,6 personnes,"['225 g de beurre', '1  œuf', '330 g de farine', '0.5 sachet de levure', '150 g de cassonade', ""2 c.c. d'extrait de vanille"", '1 pincée de sel', '500 g de sucre glace', ""1 c.c. d'extrait de vanille"", ""90 ml d'eau"", '15 g de poudre de meringue']"
Paté de Pâques de ma grand-mère,ENTRÉES,https://assets.magimix.com/files/rec_12938/avatar_pate-viande-avatar.jpg,https://www.magimix.fr/recettes/pate-de-paques-de-ma-grand-mere_i,10,cecile,30,30,1,0,6 personnes,"['1  pâte feuilletée', '3  œufs', '1 pincée de sel', '1 pincée de poivre', '100 g de veau haché', '100 g de porc haché', '5 brins de persil', '1 pincée de noix de muscade', ""1  jaune d'œuf""]"
Salade des îles,ENTRÉES,https://assets.magimix.com/files/rec_16812/avatar_salade-iles-avatar.jpg,https://www.magimix.fr/recettes/salade-des-iles,10,lebon mireilla,30,0,30,0,4 personnes,"['1  concombre', '1  laitue', '0.5  poivron vert', '0.5  mangue', '2  tomates', '1 bouquet de persil', '5 gouttes de tabasco', '2  avocats', ""2 tranches d'ananas"", '2  citrons jaunes', ""1  gousse d'ail"", '1  oignon', ""3 c.s. d'huile d'olive"", '1 pincée de sel', '1 pincée de poivre']"
Tiramisu,DESSERTS,https://assets.magimix.com/files/rec_28211/tiramisu_avatar.jpg,https://www.magimix.fr/recettes/tiramisu-1_c,10,Magimix,30,0,6,6,8 personnes,"['400 g de mascarpone', '100 g de sucre semoule', '300 ml de café', '30  biscuits à la cuillère', '3 c.s. de cacao amer', ""3 c.s. d'Amaretto"", '5  œufs']"
Frozen Lime,BOISSONS,https://assets.magimix.com/files/rec_29575/Fotolia_1220050_L.jpg,https://www.magimix.fr/recettes/frozen-lime_c,10,Magimix,5,0,5,0,4 verres,"['30 ml de sirop de menthe', '4  oranges', '100 g de sorbet au citron']"
Madeleines à la noix de coco,DESSERTS,https://assets.magimix.com/files/rec_36204/avatar_madeleine-coco-avatar.jpg,https://www.magimix.fr/recettes/madeleines-la-noix-de-coco_c,10,Magimix,10,10,20,0,12 pièces,"['75 g de beurre', '50 ml de lait de coco', '2  œufs', '100 g de sucre', '125 g de farine T45', '5 g de levure chimique', '35 g de noix de coco', '1 pincée de fleur de sel']"
Jus de Pastèque au miel,BOISSONS,https://assets.magimix.com/files/rec_11074/smoothierose.jpg,https://www.magimix.fr/recettes/jus-de-pasteque-au-miel_c,10,Magimix,10,0,10,0,4 verres,"['350 g de pastèque', '250 ml de jus de pomme', '2  bananes', '2 c.c. de miel']"
Salade de patate douce et herbes,ENTRÉES,https://assets.magimix.com/files/rec_13546/Fotolia_56924812_M.jpg,https://www.magimix.fr/recettes/salade-de-patate-douce-1_c,10,Magimix,10,10,20,0,6 personnes,"['700 g de patates douces', '2 brins de menthe fraîche', '1 c.c. de cumin', ""70 g d'amandes effilées"", '3 brins de coriandre', '1 c.s. de beurre', '1 c.s. de vinaigre de vin blanc', ""1 c.s. d'huile d'olive"", '1 pincée de sel', '1 pincée de poivre']"
Hamburgers,VIANDES,https://assets.magimix.com/files/rec_23239/2020873068hamburger.jpg,https://www.magimix.fr/recettes/hamburgers_cs,10,Magimix,10,10,1,1,6 pains,"['300 g de farine T55', ""120 ml d'eau"", '7 g de levure sèche de boulanger', '40 g de beurre', '25 g de sucre', '1  œuf', '1  œuf battu (pour dorer)', '15 ml de lait (pour dorer)', '1 poignée de sésame', '400 g de viande maigre (type bifteck)', '0.5  oignon rouge', ""1 c.s. d'huile d'olive"", '2  tomates', '0.5  oignon rouge', '4 feuilles de laitue', '6  fromages pour burger']"
Tarte aux pommes,DESSERTS,https://assets.magimix.com/files/rec_20175/Fotolia_18557302_Subscription_L.jpg,https://www.magimix.fr/recettes/tarte-aux-pommes-1_c,10,Magimix,25,40,2,1,4 personnes,"['1  pâte brisée', '50 g de cassonade', '3  pommes', '0.5 c.s. de cannelle']"
Coleslaw,ENTRÉES,https://assets.magimix.com/files/rec_23554/2116198866Coleslaw.jpg,https://www.magimix.fr/recettes/coleslaw_c,10,Magimix,10,0,10,0,6 personnes,"['0.25  de chou', '3  carottes', '4 c.s. de mayonnaise', '0.5  oignon', '1 c.c. de moutarde forte', '1 c.s. de vinaigre de cidre ou de xérès', '1 pincée de sucre', '1 pincée de sel']"
"Soupe de potiron, curry, gingembre",SOUPES,https://assets.magimix.com/files/rec_21708/Fotolia_35566414_Subscription_Monthly_XXL.jpg,https://www.magimix.fr/recettes/soupe-de-potiron_-curry_-gimgembre_c,10,Magimix,20,15,35,0,6 personnes,"['650 g de potiron', '1 cm de gingembre', '0.5  oignon', '0.5 c.c. de curry', '20 g de beurre', ""600 ml d'eau""]"
Tarte aux pommes caramélisées,DESSERTS,https://assets.magimix.com/files/rec_1302/1394406111tarteypommes.jpg,https://www.magimix.fr/recettes/tarte-aux-pommes-caramelisees_c,10,Magimix,10,50,2,1,8 personnes,"['250 g de farine T45', '150 g de beurre', ""80 ml d'eau froide"", '1 pincée de sel', '1 kg de pommes', '45 g de beurre', '0.5  citron jaune', '2  œufs', '4 c.s. de sucre semoule', '2 c.s. de crème fraîche épaisse', '15 ml de calvados', '1 c.c. de cannelle', ""1 c.c. d'extrait de vanille""]"
Tarte au chocolat et noix de pécan,DESSERTS,https://assets.magimix.com/files/rec_1300/tarte chocolat_avatar.jpg,https://www.magimix.fr/recettes/tarte-au-chocolat-et-noix-de-pandeacutecan_c,10,Magimix,30,30,2,1,4 personnes,"['1  pâte sablée', '1  œuf', ""1  jaune d'œuf"", '50 ml de lait', '80 g de cassonade', '200 g de chocolat noir', '80 g de noix de pécan', '50 ml de crème liquide', '1 sachet de sucre vanillé', '1 noix de beurre']"
Pavlova,DESSERTS,https://assets.magimix.com/files/rec_1279/1172718037pavlova.jpg,https://www.magimix.fr/recettes/pavlova_c,10,Magimix,20,2,2,0,6 personnes,"['125 g de sucre semoule', '125 g de sucre glace', ""5  blancs d'œufs"", '300 ml de crème liquide', '1 sachet de sucre vanillé', '100 g de fraises', '100 g de framboises', '3 feuilles de menthe']"
Mousse de mangues,DESSERTS,https://assets.magimix.com/files/rec_1268/375x353mousse mangue.jpg,https://www.magimix.fr/recettes/mousse-de-mangues_c,10,Magimix,30,2,32,0,4 personnes,"['2  mangues', '3 feuilles de gélatine', '120 ml de crème fraîche liquide', '50 g de sucre glace', '2 c.s. de jus de citron vert', '4  kiwis']"
Macarons aux Fraises,DESSERTS,https://assets.magimix.com/files/rec_1252/macaronsyfondyblanc.jpg,https://www.magimix.fr/recettes/macarons-aux-fraises_c,10,Magimix,20,20,40,0,4 personnes,"[""2  blancs d'œufs"", ""70 g de poudre d'amandes"", '150 g de framboises', '120 g de sucre glace', '150 g de fraises']"
Glace minute à la mangue,GLACES,https://assets.magimix.com/files/rec_1246/Mangue_glace.jpg,https://www.magimix.fr/recettes/glace-minute-a-la-mangue_c,10,Magimix,5,0,5,0,4 personnes,"['300 g de mangues surgelées', '125 g yaourt', '40 g spéculoos']"
Gâteau aux carottes et aux épices,DESSERTS,https://assets.magimix.com/files/rec_1239/113965012carrotycake.jpg,https://www.magimix.fr/recettes/gateau-aux-carottes-et-aux-epices_c,10,Magimix,15,55,1,0,4 personnes,"['150 g de farine', '0.25 c.c. de noix de muscade', '0.25 c.c. de cannelle', '40 g de cerneaux de noix', '2  œufs', ""150 ml d'huile de colza"", '1 sachet de levure chimique', '0.25 c.c. de poudre 4 épices', '7  pruneaux dénoyautés', '2  carottes', '200 g de sucre', '20 g de raisins secs', '1 pincée de sel', '1 c.c. de sucre glace']"
Crumble aux pommes,DESSERTS,https://assets.magimix.com/files/rec_1213/1925669626crumbleypommes.jpg,https://www.magimix.fr/recettes/crumble-aux-pommes-1_c,10,Magimix,15,30,45,0,4 personnes,"['100 g de farine', '80 g de sucre', '1 sachet de sucre vanillé', '100 g de beurre', ""50 g de poudre d'amandes"", '4  pommes Granny Smith', '1 c.c. de cannelle']"
